=== INICIANDO EXECUÇÃO FORÇA TOTAL: BB30024 ===
Dimensões: 69 fitas x 1237 colunas
Parâmetros: 100 Gerações | Pop: 20

Geração 000/100 | Melhor WSP: -476110.00
Geração 005/100 | Melhor WSP: -476108.00
Geração 010/100 | Melhor WSP: -476108.00
Geração 015/100 | Melhor WSP: -476108.00
Geração 020/100 | Melhor WSP: -476108.00
Geração 025/100 | Melhor WSP: -476106.50
Geração 030/100 | Melhor WSP: -476106.50
Geração 035/100 | Melhor WSP: -476106.50
Geração 040/100 | Melhor WSP: -476106.50
Geração 045/100 | Melhor WSP: -476106.50
Geração 050/100 | Melhor WSP: -476106.50
Geração 055/100 | Melhor WSP: -476106.50
Geração 060/100 | Melhor WSP: -476106.50
Geração 065/100 | Melhor WSP: -476106.50
Geração 070/100 | Melhor WSP: -476106.50
Geração 075/100 | Melhor WSP: -476106.50
Geração 080/100 | Melhor WSP: -476106.50
Geração 085/100 | Melhor WSP: -476106.50
Geração 090/100 | Melhor WSP: -476106.50
Geração 095/100 | Melhor WSP: -476106.50

=== ALGORITMO GENÉTICO FINALIZADO ===
